,one_plus_7t.csv,customer_id,user_name,ratings,review_head,review_body
1430,1430,review-462f3d7b-020d-4403-9dcb-b1947f1f7f4f,Swanand Kulkarni,3,Good,love phone purchasingthe detailed review followsinbuilt memory 64 gb 54 gb 25 gb already consumed operating systemmeaning 52 gb left usecamera xiomi making public full telling 48mp camera getting promoting 48 mp 13 mp max say 15mp thatfront camera didnt used yet get 15 mp saying 48 mp imagine read
1431,1431,review-b622ed7d-7117-425f-9f74-cb47a1e1630a,Flipkart Customer,4,Nice product,superb nice phone middle class people budget
1432,1432,review-c96c91c8-b37c-4996-ac69-bba9d4f12ad2,Abu bakkar Siddique,5,Mind-blowing purchase,nice phone camera awesome
1433,1433,review-45e2802f-e079-4d4d-8ad1-d397124c9cd2,Rishimon Munshi,4,Worth it,always brilliant miui xiaomi numerous bugs everyone else mentioned competition price range
1434,1434,review-1b01a862-9cd8-436f-a94a-2a4a659dfa0a,Tuntun Sharma,5,Great product,good phone
1435,1435,review-a69c3e34-d7fa-4256-a0a2-e14924f09b4b,Hari Rai,4,Pretty good,one best selected phone
1436,1436,review-7bea36c1-e971-41e0-a048-eff28d6733ea,Flipkart Customer,5,Terrific,know amazing phone
1437,1437,review-b4f6a2f4-a94a-444e-bf55-89506c1fb73e,Mayank Rathore,5,Terrific purchase,superb phone mi value money
1438,1438,review-c16d913c-2690-4866-b0af-27ef41d579d8,Flipkart Customer,1,Unsatisfactory,bad
1439,1439,review-22ce49f9-9d2c-4c4f-99d2-76bbb906f866,saalim machhaliya,4,Very Good,velue money
1440,1440,review-68dbe3b5-8c6e-4d0e-a677-c7ccdbe91779,Aeju Mansuri,5,Best in the market!,redmi note 7 pro nice phone
1441,1441,review-631c9ee7-15d4-470d-877f-ce478b3ba7a6,kamlesh mulchandani,5,Brilliant,excellent phone
1442,1442,review-7b60bb2b-3752-4550-8d61-8e68b0db8ed2,Sachin Sharma,5,Super!,overall phone good price little bit highy
1443,1443,review-e5db8ccc-945c-42a8-8b9b-bb8a89710b2a,Manisha Sahu,4,Wonderful,awesome phone
1444,1444,review-4c6ffd10-b712-4225-a7a0-78d24f26a405,jagadeesh jagath,5,Mind-blowing purchase,super
1445,1445,review-367e5f6a-a39c-4404-a7fc-0e6248af559d,Rk.,5,Just wow!,best phone get 15k cons low loudness speakers
1446,1446,review-631937de-d489-49a1-acbf-b219096c1543,Roopesh Aggarwal,5,Classy product,superb mi always best
1447,1447,review-5025d1dd-40f2-47f3-8072-d0d89e090244,VINOD DANDOTIYA,5,Worth every penny,arounder mobile fabulous device
1448,1448,review-f4076f83-0121-497f-baf7-382e038d91e9,Flipkart Customer,4,Good choice,good mobile
1449,1449,review-8c8fff22-f8d6-4338-b21b-8e4a148ba640,Subhadip Modak,5,Super!,awesome
1450,1450,review-26f2a637-440f-4cfb-aab7-4e95f7d48232,Bandari Amarender,4,Good choice,nice mbl
1451,1451,review-971c91ac-1c4d-47bb-9210-7e17a38d281b,Mukesh Kumar,3,Fair,hang problm h
1452,1452,review-1cb6da02-50c5-49f2-b1df-b1417a68d3a7,Lakshya Negi,4,Good choice,awesome smart phone
1453,1453,review-069f7402-46eb-43a0-8974-d1e19e59c69c,Ranit Deb,5,Excellent,terific purches 12600
1454,1454,review-f3a4bd3b-8a15-4eaa-8c88-0bd0a232ac4c,Abhishek Chouham,5,Just wow!,superb phone redmi great camera great battery great design
1455,1455,review-0ee795ab-28d9-4792-bf1a-e50edea83757,Flipkart Customer,5,Terrific purchase,fantastic handset
1456,1456,review-72dae063-bac7-4e75-b660-7c7ac8f28959,Kailash Poojari,5,Excellent,good product battery bit drained frequently
1457,1457,review-7c3371e7-fdf3-42df-95ea-b9b96f783456,Ashutosh Kumar,4,Pretty good,im disappointed 48mp camerathere difference 48mp 13 mp selfie awesomei loved dot display
1458,1458,review-40e30811-516f-4965-afdb-ea2ff115010f,Mahesh Ingle,3,Good,slow internet speed wifi issue
1459,1459,review-df3e02c8-34cc-4c79-99cf-f3ab9c62cd0f,Flipkart Customer,3,Nice,mark phone
1460,1460,review-e7813ec6-db6c-48f0-887b-575ad2863c01,Flipkart Customer,5,Mind-blowing purchase,super phone
1461,1461,review-64788a41-68ef-46e7-8aa9-565f55b9a2ea,M GINKHANKHUP,1,Absolute rubbish!,review 3 weeks usagebattery good 910camera average price bracket 710display 210 screendisplay stutters lags normal everyday usage phone hanging even latest android updates touch response slow frustrating smooth experience much expectation
1462,1462,review-bd48f18d-1c48-45a4-a58c-212d0a5e6574,Flipkart Customer,2,Very disappointed,got new mobile mar2019 working well till one fine day taking bag found extremely overheated unusually high temperature put front ac let cool would heat perhaps till battery got drained restarting initial screen came couple times subsequently everything stopped working also slight bulge back side phoneon checking phone authorized person wasread
1463,1463,review-063bf2a0-44fa-4aac-9445-745ea879b26e,Anil Kumar,5,Wonderful,awesome
1464,1464,review-a3c48963-313c-4f06-b508-f4c3e63e2d54,Rinku Sethi,3,Nice,good
